player_id,player_name,position,career_faceoff_pct,season_faceoff_pct,games_played,handedness
,Brayden McNabb,D,,,82.0,
,Alexander Romanov,D,,,64.0,
,Dylan Samberg,D,,,60.0,
,Nick Seeler,D,,,77.0,
,Oskar Sundqvist,C,,45.5,67.0,
,Olen Zellweger,D,,,62.0,
,Nikolai Kovalenko,RW,,22.2,57.0,
,Nikolai Kovalenko,RW,,0.0,28.0,
,Nikolai Kovalenko,RW,,50.0,29.0,
,Nick Bjugstad,C,,47.4,66.0,
,Jonny Brodzinski,C,,47.6,51.0,
,Michael Carcone,F,,50.0,53.0,
,Tony DeAngelo,D,,,35.0,
,Dylan DeMelo,D,,,82.0,
,Josh Doan,RW,,41.2,51.0,
,Pontus Holmberg,RW,,48.8,68.0,
,Boone Jenner,C,,51.2,26.0,
,Parker Kelly,F,,43.0,80.0,
,Steven Lorentz,C,,36.4,80.0,
,Pat Maroon,LW,,46.2,68.0,
,Emil Martinsen Lilleberg,D,,,76.0,
,Pavel Mintyukov,D,,,68.0,
,Connor Murphy,D,,,68.0,
,Nicklaus Perbix,D,,,74.0,
,Rasmus Ristolainen,D,,,63.0,
,Nate Schmidt,D,,,80.0,
,Jakob Pelletier,LW,,40.6,49.0,
,Jakob Pelletier,LW,,35.7,24.0,
,Jakob Pelletier,LW,,44.4,25.0,
,Uvis Balinskis,D,,0.0,76.0,
,Mitchell Chaffee,F,,36.4,66.0,
,Jalen Chatfield,D,,,79.0,
,Lawson Crouse,LW,,46.3,81.0,
,Kaiden Guhle,D,,,55.0,
,Erik Gustafsson,D,,,60.0,
,Emil Heineman,LW,,14.3,62.0,
,Mattias Janmark,C,,40.6,80.0,
,Luke Kunin,C,,46.6,75.0,
,Luke Kunin,C,,47.3,63.0,
,Luke Kunin,C,,31.3,12.0,
,Olli Määttä,D,,,77.0,
,Olli Määttä,D,,,7.0,
,Olli Määttä,D,,,70.0,
,Matias Maccelli,LW,,50.0,55.0,
,Chris Tanev,D,,,75.0,
,Alexey Toropchenko,RW,,44.4,80.0,
,Craig Smith,C,,34.8,59.0,
,Craig Smith,C,,35.0,40.0,
,Craig Smith,C,,33.3,19.0,
,Jack Drury,C,,57.8,72.0,
,Jack Drury,C,,58.8,39.0,
,Jack Drury,C,,56.6,33.0,
,Zach Aston-Reese,C,,22.2,79.0,
,Colin Blackwell,C,,49.0,63.0,
,Casey Cizikas,C,,55.2,82.0,
,Ian Cole,D,,,82.0,
,Drew Doughty,D,,,30.0,
,Mario Ferraro,D,,,78.0,
,A.J. Greer,LW,,34.0,81.0,
,Cole Koepke,LW,,0.0,73.0,
,Johnathan Kovacevic,D,,,81.0,
,Sean Kuraly,C,,54.3,82.0,
,Brett Leason,RW,,28.4,62.0,
,Timothy Liljegren,D,,,68.0,
,Timothy Liljegren,D,,,1.0,
,Timothy Liljegren,D,,,67.0,
,Jamie Oleksiak,D,,,82.0,
,Andrew Peeke,D,,,76.0,
,Brett Pesce,D,,,72.0,
,Fedor Svechkov,C,,36.7,52.0,
,Tomáš Tatar,LW,,52.6,74.0,
,Cameron York,D,,,66.0,
,Joe Veleno,C,,46.9,74.0,
,Joe Veleno,C,,47.2,56.0,
,Joe Veleno,C,,46.1,18.0,
,Mark Jankowski,C,,50.6,60.0,
,Mark Jankowski,C,,50.7,41.0,
,Mark Jankowski,C,,50.5,19.0,
,Oskar Back,C,,52.0,73.0,
,Nick Blankenburg,D,,,60.0,
,Zach Bogosian,D,,,81.0,
,Connor Clifton,D,,,73.0,
,Jason Dickinson,C,,49.5,59.0,
,Brenden Dillon,D,,,82.0,
,Robby Fabbri,C,,45.5,44.0,
,Radko Gudas,D,,,81.0,
,David Perron,LW,,31.6,43.0,
,Nathan Walker,C,,52.6,73.0,
,Sean Walker,D,,,82.0,
,Urho Vaakanainen,D,,,51.0,
,Urho Vaakanainen,D,,,5.0,
,Urho Vaakanainen,D,,,46.0,
,Michael Eyssimont,C,,33.3,77.0,
,Michael Eyssimont,C,,12.5,57.0,
,Michael Eyssimont,C,,50.0,20.0,
,Juuso Pärssinen,C,,46.9,48.0,
,Juuso Pärssinen,C,,46.8,15.0,
,Juuso Pärssinen,C,,55.8,22.0,
,Juuso Pärssinen,C,,40.3,11.0,
,Morgan Barron,C,,52.1,74.0,
,Yegor Chinakhov,RW,,,30.0,
,Nick Cousins,C,,14.3,50.0,
,Pierre Engvall,LW,,29.4,62.0,
,Radek Faksa,C,,57.0,70.0,
,Trent Frederic,C,,43.7,58.0,
,Trent Frederic,C,,43.9,57.0,
,Trent Frederic,C,,0.0,1.0,
,Zachary L'Heureux,LW,,0.0,62.0,
,Isac Lundeström,C,,47.2,79.0,
,Sam Malinski,D,,,76.0,
,Josh Manson,D,,,48.0,
,Colin Miller,D,,,60.0,
,David Savard,D,,,75.0,
,Ryan Suter,D,,,82.0,
,Yakov Trenin,C,,43.8,76.0,
,Egor Zamula,D,,,63.0,
,William Borgen,D,,,84.0,
,William Borgen,D,,,33.0,
,William Borgen,D,,,51.0,
,Conor Timmins,D,,,68.0,
,Conor Timmins,D,,,51.0,
,Conor Timmins,D,,,17.0,
,Conor Geekie,C,,42.4,52.0,
,Mathieu Joseph,RW,,51.6,60.0,
,Dakota Joshua,C,,54.8,57.0,
,Mark Kastelic,C,,54.4,61.0,
,Philipp Kurashev,C,,47.1,51.0,
,Ilya Lyubushkin,D,,,80.0,
,John Marino,D,,,35.0,
,Michael McCarron,RW,,54.4,74.0,
,J.J. Moser,D,,,54.0,
,Mattias Samuelsson,D,,,62.0,
,Logan Stanley,D,,,63.0,
,Kasperi Kapanen,RW,,41.5,67.0,
,Kasperi Kapanen,RW,,0.0,10.0,
,Kasperi Kapanen,RW,,42.9,57.0,
,Nico Sturm,C,,58.8,62.0,
,Nico Sturm,C,,62.7,47.0,
,Nico Sturm,C,,51.0,15.0,
,Jakub Vrána,LW,,35.0,39.0,
,Jakub Vrána,LW,,28.6,26.0,
,Jakub Vrána,LW,,50.0,13.0,
,Adam Boqvist,D,,,35.0,
,Adam Boqvist,D,,,18.0,
,Adam Boqvist,D,,,17.0,
,Jacob Trouba,D,,,77.0,
,Jacob Trouba,D,,,24.0,
,Jacob Trouba,D,,,53.0,
,Ben Chiarot,D,,,81.0,
,Ty Emberson,D,,,76.0,
,Drew Helleson,D,,,56.0,
